ticker,date,time,headline,sentiment_score,sentiment_label,finbert_label,finbert_confidence
AAPL,2026-08-06,05:45AM,"S&P 500, Dow futures steady as MidEast deal in focus; chips stumble",0.05833333333333333,positive,positive,0.6077
AAPL,2026-08-06,04:25AM,Nigeria Tries to Revive 50 Year-Old Mill That Never Made Steel,-0.1,negative,neutral,0.6653
AAPL,2026-08-06,02:09AM,OpenAI moves to dismiss Apple's trade secret lawsuit,-0.4,negative,neutral,0.4698
AAPL,2026-08-06,02:07AM,OpenAI Asks Judge to Toss Apple Suit Alleging Trade Secret Theft,-0.4,negative,negative,0.5641
AAPL,2026-08-06,12:00AM,"As AI spend continues to soar, when will investors start to be rewarded?",0.0,neutral,neutral,0.8122
AAPL,2026-08-05,04:33PM,The Calm Surface of Alphabet Stock Hides a Turbulent Forecast,0.30000000000000004,positive,neutral,0.5487
AAPL,2026-08-05,03:56PM,Price hikes on consumer electronics could be here to stay. Here's why.,0.0,neutral,neutral,0.8947
AAPL,2026-08-05,03:26PM,Spain's 'Warren Buffett' Bets Against the Crowd--and It's Paying Off,0.0,neutral,positive,0.8616
AAPL,2026-08-05,03:15PM,The companies emerging as new leaders in this renewed AI rally,0.13636363636363635,positive,positive,0.7999
AAPL,2026-08-05,02:33PM,Apple's Search for Cheaper Memory Just Hit a Wall,0.0,neutral,neutral,0.4828
AAPL,2026-08-05,02:08PM,Just How Wide Is the Range of Outcomes for Netflix Stock?,-0.1,negative,neutral,0.9378
AAPL,2026-08-05,12:15PM,Amazon says it will share $600 million in Trump tariff refunds with some of its customers  will you get a payout?,0.0,neutral,neutral,0.7498
AAPL,2026-08-05,11:28AM,SpaceX's $1T Goal and 3 More Shockers From Musk on the Earnings Call,0.5,positive,negative,0.6109
AAPL,2026-08-05,10:28AM,The 9th Circuits Browser Analogy Leaves a Liability Vacuum,-0.008333333333333333,neutral,neutral,0.6972
AAPL,2026-08-05,10:17AM,Apple's Buyback Is Retiring Less Stock Just As The Memory Bill Grows,-0.16666666666666666,negative,neutral,0.7705
AAPL,2026-08-05,09:45AM,Apples purchase commitments jump 28%; BofA sees iPhone ramp ahead,0.0,neutral,positive,0.9494
AAPL,2026-08-05,06:00AM,AI CapEx fears: Is big tech overspending?,0.0,neutral,negative,0.8864
AAPL,2026-08-05,05:26AM,Tech Melt-Up Drives $3.5 Trillion Nasdaq 100 Gain in Four Days,0.0,neutral,neutral,0.71
AAPL,2026-08-05,05:00AM,Corporate America got billions of dollars in tariff refunds. Wheres your cut?,0.0,neutral,neutral,0.812
AAPL,2026-08-05,03:45AM,AI demand pushes Foxconn's monthly revenue to record in July,0.0,neutral,positive,0.9102
AAPL,2026-08-05,03:37AM,Nvidia Partner Hon Hais Sales Rise 54% on Strong AI Demand,0.4333333333333333,positive,positive,0.9497
AAPL,2026-08-04,06:03PM,Musk warns that memory prices will keep going up,0.0,neutral,negative,0.717
AAPL,2026-08-04,05:46PM,OpenAI Dumps Apple Employees' Text Messages to Fight Trade Secret Suit,-0.4,negative,negative,0.6516
AAPL,2026-08-04,04:53PM,"Google Should Be Forced To Shed Chrome, Advocacy Group Argues",-0.30000000000000004,negative,negative,0.6914
AAPL,2026-08-04,04:08PM,Apple Scores Major Win in One of Its Biggest Markets,0.43125,positive,positive,0.9116
AAPL,2026-08-04,04:06PM,Apple's India Sales Cross $10 Billion for the First Time,0.125,positive,positive,0.6821
AAPL,2026-08-04,03:56PM,Apple-OpenAI Fight Takes Unexpected Turn,0.1,positive,negative,0.8426
AAPL,2026-08-04,12:56PM,Apple Gears Up for September iPhone Launch With Retail Employee Lottery,0.0,neutral,neutral,0.7696
AAPL,2026-08-04,11:00AM,AAPL Stock Gets Downgrades As Wall Street Sees Memory Inflation Pressures Persisting For 'Several More Quarters',0.25,positive,negative,0.9688
AAPL,2026-08-04,09:39AM,Can NFLX Stock Compound Its Way Higher?,0.25,positive,positive,0.782
AAPL,2026-08-04,09:37AM,"Walmart downgraded, Palantir upgraded: Wall Street's top analyst calls",0.5,positive,neutral,0.5141
